country_name,country_code,counterpart_area,Y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
St. Vincent and the Grenadines,VCT,World,32.8,27.52,32.32,43.07,36.6,35.92,38.09,29.36,38.15,42.8,45.55,46.85,56.3,53.69,53.16,57.36,51.85,61.72,57.83,44.64,
Sudan,SDN,World,7.27,10.57,8.93,6.89,6.8,5.12,4.59,0.9,0.87,0.85,0.87,0.96,0.86,0.85,0,0,0,0,0,0,
Suriname,SUR,World,0,0,0,0,0,0,0,0,0,0,0,12.89,12.86,13.57,16.4,16.49,15.05,23.97,28.48,33.26,
Syrian Arab Republic,SYR,World,0,0,0,0,317.33,306.51,369.93,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,TJK,World,14.75,16.91,19.21,6.3,6.54,9.61,11.33,13.57,13.61,13.59,9.97,9.61,12.6,22.02,21.1,22.11,32.42,37.91,57.22,52.48,
Tanzania,TZA,World,26.57,24.29,54.87,57.07,47.25,44.64,43.69,36.65,33.63,33.39,27.04,22.47,22.37,27.47,22.57,0,0,0,0,0,
Thailand,THA,World,85.3,88.96,106.81,138.47,166.41,171.03,160.62,148.81,120.16,108.75,106.93,127.26,131.11,131.9,119.49,133.05,138.14,125.07,107.73,115.93,
Timor-Leste,TLS,World,,,,,,,,,1162.03,767.64,298.61,375,347.25,437.22,426.37,322.62,283.23,335.51,286.79,254.4,
Togo,TGO,World,19.45,11.35,20.86,22.26,35.49,40.75,55.62,122.55,58.4,54.4,49.31,52.06,62.8,55.12,45.22,0,0,0,0,0,
Tonga,TON,World,58.57,52.64,52.36,67.35,70.49,83.3,68.03,74.94,76.97,77.93,81.04,84.69,101.2,102.82,115.05,117.04,153.64,161.79,178.9,201.84,
Tunisia,TUN,World,20.01,24.6,35.98,37.93,41.03,48.29,41.76,32.61,32.89,28.36,26.8,26.49,20.46,17.9,15.75,19.37,22.98,20.19,19.36,21.95,
Turkiye,TUR,World,22.51,29.45,29.08,28.47,25.02,26.22,27.15,27.48,33.72,32.57,30.76,27.65,26.29,24.06,21.79,25.46,21.78,25.48,28.11,28.18,
Turkmenistan,TKM,World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,UGA,World,27.31,30.14,139.22,154.85,100.33,108.37,90.97,80.23,83.87,38.99,38.33,30.39,30.71,31.86,27.24,22.77,22.33,21.69,17.46,19.25,
Ukraine,UKR,World,30.26,55.24,41.2,40.19,31.69,25.17,27.77,23.19,18.35,13.89,5.9,11.22,13.36,15.12,16.99,20.13,21.84,22.6,19.88,22.94,
Uzbekistan,UZB,World,0,0,0,0,0,0,0,0,0,220.2,200.35,181.59,174.78,171.75,153.82,127.07,103.54,86.54,73.01,58.4,
Vanuatu,VUT,World,40.16,66.96,94.64,93.53,77.4,96.94,90.84,97.39,100.01,113.08,90.52,104.82,91.11,98.43,104.56,120.44,139.48,139.44,137.78,136.78,
Viet Nam,VNM,World,40.76,49.57,72.48,102.65,91.24,51.27,28.71,25.86,41.95,39.68,46.26,34.97,40.79,45.04,49.61,64.34,73.72,78.63,59.42,65.5,
"Yemen, Rep.",YEM,World,101.51,112.14,132.04,126.06,130.97,102.85,91.36,70.48,81.17,69.57,56.42,19.77,12.42,12.8,42.4,23.44,13.62,23.4,18.26,0,
Zambia,ZMB,World,4.47,10.42,31.92,39.72,37.25,51.91,48.41,44.66,49.11,40.12,31.81,24.05,14.9,8.76,6.36,4.93,4.07,10.22,10.48,10.93,
Zimbabwe,ZWE,World,4.46,2.4,3.31,2.64,1.35,13.35,10.82,8.93,6.47,5.64,4.35,4.47,3.53,2.33,0.69,1.23,0.27,6.07,4.32,0.77,
